,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
241,GA,HI,4687.0
242,GA,IA,8811.0
243,GA,IL,65135.0
244,GA,IN,27931.0
245,GA,KS,5036.0
246,GA,KY,38965.0
247,GA,LA,44596.0
248,GA,MA,38841.0
249,GA,MD,36054.0
250,GA,ME,2264.0
251,GA,MI,55983.0
252,GA,MN,41910.0
253,GA,MO,47077.0
254,GA,MS,16936.0
255,GA,MT,1505.0
256,GA,NC,95992.0
257,GA,ND,229.0
258,GA,NE,10610.0
259,GA,NH,359.0
260,GA,NJ,37329.0
261,GA,NM,4901.0
262,GA,NV,29239.0
263,GA,NY,99034.0
264,GA,OH,49307.0
265,GA,OK,15340.0
266,GA,OR,8628.0
267,GA,PA,62471.0
268,GA,PR,12075.0
269,GA,RI,5529.0
270,GA,SC,54843.0
271,GA,SD,1976.0
272,GA,TN,67524.0
273,GA,TX,150591.0
274,GA,UT,30236.0
275,GA,VA,105794.0
276,GA,VI,5586.0
277,GA,VT,1349.0
278,GA,WA,18842.0
279,GA,WI,25831.0
280,GA,WV,3215.0
281,GA,WY,1699.0
282,HI,AK,7413.0
283,HI,AZ,24408.0
284,HI,CA,275722.0
285,HI,CO,19735.0
286,HI,GA,6816.0
287,HI,HI,333170.0
288,HI,IL,15343.0
289,HI,MA,4216.0
290,HI,MN,5397.0
291,HI,NJ,4031.0
292,HI,NV,13627.0
293,HI,NY,4845.0
294,HI,OR,26735.0
295,HI,TT,6372.0
296,HI,TX,32049.0
297,HI,UT,10783.0
298,HI,VA,2877.0
299,HI,WA,69211.0
300,IA,AZ,14161.0
301,IA,CO,12346.0
302,IA,FL,12051.0
303,IA,GA,7214.0
304,IA,IA,160.0
305,IA,IL,19828.0
306,IA,IN,110.0
307,IA,KS,28.0
308,IA,MI,5044.0
309,IA,MN,5296.0
310,IA,MO,3198.0
311,IA,NC,5733.0
312,IA,NE,54.0
313,IA,NJ,41.0
314,IA,NV,4846.0
315,IA,NY,614.0
316,IA,PA,613.0
317,IA,TN,1057.0
318,IA,TX,11871.0
319,IA,UT,731.0
320,IA,VA,1256.0
321,ID,AZ,8937.0
322,ID,CA,20497.0
323,ID,CO,12361.0
324,ID,ID,102.0
325,ID,IL,2381.0
326,ID,MN,2915.0
327,ID,NV,4282.0
328,ID,OR,5787.0
329,ID,TX,5270.0
330,ID,UT,17265.0
331,ID,WA,20026.0
332,IL,AL,6856.0
333,IL,AR,8092.0
334,IL,AZ,75818.0
335,IL,CA,156223.0
336,IL,CO,67388.0
337,IL,CT,11037.0
338,IL,FL,274446.0
339,IL,GA,62035.0
340,IL,HI,9954.0
341,IL,IA,21731.0
342,IL,ID,2542.0
343,IL,IL,27595.0
344,IL,IN,21603.0
345,IL,KS,6295.0
346,IL,KY,28403.0
347,IL,LA,17119.0
348,IL,MA,36036.0
349,IL,MD,21688.0
350,IL,ME,2154.0
351,IL,MI,62205.0
352,IL,MN,54534.0
353,IL,MO,50041.0
354,IL,MS,1102.0
355,IL,MT,5335.0
356,IL,NC,43711.0
357,IL,ND,6678.0
358,IL,NE,20033.0
359,IL,NH,2943.0
360,IL,NJ,22675.0
361,IL,NM,5758.0
362,IL,NV,49172.0
363,IL,NY,90153.0
364,IL,OH,48787.0
365,IL,OK,10511.0
366,IL,OR,13769.0
367,IL,PA,56763.0
368,IL,PR,6780.0
369,IL,RI,5529.0
370,IL,SC,12401.0
371,IL,SD,5492.0
372,IL,TN,32559.0
373,IL,TX,138392.0
374,IL,UT,18058.0
375,IL,VA,52846.0
376,IL,VI,491.0
377,IL,VT,2714.0
378,IL,WA,26281.0
379,IL,WI,41404.0
380,IL,WV,2202.0
381,IL,WY,3092.0
382,IN,AZ,11459.0
383,IN,CA,6413.0
384,IN,CO,10313.0
385,IN,FL,69239.0
386,IN,GA,25924.0
387,IN,IA,168.0
388,IN,IL,21277.0
389,IN,IN,1.0
390,IN,KY,4.0
391,IN,LA,740.0
392,IN,MA,2109.0
393,IN,MD,4559.0
394,IN,MI,10873.0
395,IN,MN,6417.0
396,IN,MO,1594.0
397,IN,MS,253.0
398,IN,NC,13772.0
399,IN,NE,39.0
400,IN,NJ,3878.0
401,IN,NV,9272.0
402,IN,NY,6175.0
403,IN,OK,52.0
404,IN,PA,3792.0
405,IN,SC,434.0
406,IN,TN,13.0
407,IN,TX,25006.0
408,IN,UT,1445.0
409,IN,VA,6209.0
410,IN,WA,3170.0
411,IN,WI,114.0
412,KS,AZ,4228.0
413,KS,CO,6309.0
414,KS,FL,518.0
415,KS,GA,4402.0
416,KS,IL,5717.0
417,KS,KS,180.0
418,KS,MN,1447.0
419,KS,MO,2760.0
420,KS,NJ,3.0
421,KS,NV,2085.0
422,KS,OK,32.0
423,KS,TX,14017.0
424,KS,WA,968.0
425,KY,AZ,7349.0
426,KY,CA,5665.0
427,KY,CO,10908.0
428,KY,CT,585.0
429,KY,FL,65130.0
430,KY,GA,34587.0
431,KY,IL,28004.0
432,KY,IN,19.0
433,KY,LA,1818.0
434,KY,MA,2671.0
435,KY,MD,7430.0
436,KY,MI,9426.0
437,KY,MN,6619.0
438,KY,MO,1790.0
439,KY,MS,107.0
440,KY,NC,17702.0
441,KY,NJ,6441.0
442,KY,NV,6768.0
443,KY,NY,8427.0
444,KY,OH,1.0
445,KY,OK,7.0
446,KY,PA,5720.0
447,KY,SC,580.0
448,KY,TN,179.0
449,KY,TX,26635.0
450,KY,UT,2450.0
451,KY,VA,10052.0
452,KY,WA,848.0
453,LA,AL,1.0
454,LA,AR,18.0
455,LA,AZ,5568.0
456,LA,CA,24112.0
457,LA,CO,16613.0
458,LA,CT,42.0
459,LA,FL,37777.0
460,LA,GA,48376.0
461,LA,IL,19932.0
462,LA,IN,986.0
463,LA,KY,2102.0
464,LA,LA,83.0
465,LA,MA,6693.0
466,LA,MD,8798.0
467,LA,MI,11061.0
468,LA,MN,6641.0
469,LA,MO,5993.0
470,LA,NC,19015.0
471,LA,NJ,10348.0
472,LA,NV,5854.0
473,LA,NY,13870.0
474,LA,OH,1211.0
475,LA,PA,5181.0
476,LA,TN,7183.0
477,LA,TX,88749.0
478,LA,UT,2091.0
479,LA,VA,10596.0
480,LA,WA,4716.0
481,MA,AZ,12502.0
482,MA,CA,57230.0
483,MA,CO,18259.0
484,MA,FL,150215.0
485,MA,GA,35578.0
486,MA,HI,2567.0
487,MA,IL,35809.0
488,MA,IN,2202.0
489,MA,KY,2820.0
490,MA,LA,5677.0
491,MA,MA,3138.0
492,MA,MD,16184.0
493,MA,ME,784.0
494,MA,MI,14841.0
495,MA,MN,16099.0
496,MA,MO,5584.0
497,MA,NC,34820.0
498,MA,NH,248.0
499,MA,NJ,18265.0
500,MA,NV,10020.0
501,MA,NY,42441.0
502,MA,OH,8251.0
503,MA,OK,84.0
504,MA,OR,2089.0
505,MA,PA,29483.0
506,MA,PR,10446.0
507,MA,SC,7126.0
508,MA,TN,10448.0
509,MA,TX,30311.0
510,MA,UT,7408.0
511,MA,VA,37894.0
512,MA,VI,2066.0
513,MA,VT,243.0
514,MA,WA,9777.0
515,MA,WI,1381.0
516,MA,WV,3.0
517,MD,AL,1539.0
518,MD,AZ,8379.0
519,MD,CA,23490.0
520,MD,CO,17438.0
521,MD,CT,8423.0
522,MD,FL,104447.0
523,MD,GA,32826.0
524,MD,IL,21874.0
525,MD,IN,4909.0
526,MD,KY,7581.0
527,MD,LA,6911.0
528,MD,MA,16006.0
529,MD,ME,6080.0
530,MD,MI,14946.0
531,MD,MN,8783.0
532,MD,MO,8440.0
533,MD,NC,34147.0
534,MD,NH,8430.0
535,MD,NM,2035.0
536,MD,NV,9046.0
537,MD,NY,26760.0
538,MD,OH,7938.0
539,MD,OK,1085.0
540,MD,PA,7265.0
541,MD,PR,8135.0
542,MD,RI,8436.0
543,MD,SC,7826.0
544,MD,SD,31.0
545,MD,TN,11448.0
546,MD,TX,42824.0
547,MD,UT,4347.0
548,MD,VA,6847.0
549,MD,WA,2266.0
550,MD,WI,2188.0
551,MD,WV,124.0
552,ME,FL,7916.0
553,ME,GA,1795.0
554,ME,IL,1679.0
555,ME,MA,850.0
556,ME,MD,5433.0
557,ME,MI,2162.0
558,ME,NC,4808.0
559,ME,NJ,4793.0
560,ME,NY,6483.0
561,ME,PA,7779.0
562,ME,VA,6280.0
563,MI,AL,3208.0
564,MI,AR,289.0
565,MI,AZ,24419.0
566,MI,CA,34593.0
567,MI,CO,20826.0
568,MI,CT,5006.0
569,MI,FL,154850.0
570,MI,GA,45626.0
571,MI,IA,5431.0
572,MI,IL,52953.0
573,MI,IN,11718.0
574,MI,KY,9544.0
575,MI,LA,8834.0
576,MI,MA,12796.0
577,MI,MD,12865.0
578,MI,ME,2567.0
579,MI,MI,48308.0
580,MI,MN,27490.0
581,MI,MO,15897.0
582,MI,MS,147.0
583,MI,MT,211.0
584,MI,NC,25328.0
585,MI,NE,2478.0
586,MI,NH,2494.0
587,MI,NJ,10362.0
588,MI,NV,24995.0
589,MI,NY,44301.0
590,MI,OH,11638.0
591,MI,OK,1000.0
592,MI,OR,2244.0
593,MI,PA,21667.0
594,MI,PR,2013.0
595,MI,RI,2950.0
596,MI,SC,5340.0
597,MI,TN,17004.0
598,MI,TX,45435.0
599,MI,UT,11265.0
600,MI,VA,23234.0
601,MI,VT,2377.0
602,MI,WA,10678.0
603,MI,WI,19937.0
604,MN,AK,3523.0
605,MN,AR,1002.0
606,MN,AZ,50199.0
607,MN,CA,56882.0
608,MN,CO,33285.0
609,MN,CT,3856.0
610,MN,FL,102879.0
611,MN,GA,32163.0
612,MN,HI,3471.0
613,MN,IA,5677.0
614,MN,ID,3502.0
615,MN,IL,50834.0
616,MN,IN,6402.0
617,MN,KS,1465.0
618,MN,KY,7154.0
619,MN,LA,5389.0
620,MN,MA,13950.0
621,MN,MD,9242.0
622,MN,MI,27700.0
623,MN,MN,21488.0
624,MN,MO,16169.0
625,MN,MT,13242.0
626,MN,NC,17049.0
627,MN,ND,24448.0
628,MN,NE,6995.0
629,MN,NJ,8889.0
630,MN,NV,26867.0
631,MN,NY,17029.0
632,MN,OH,8082.0
633,MN,OK,1911.0
634,MN,OR,9353.0
635,MN,PA,10060.0
636,MN,PR,1784.0
637,MN,SC,273.0
638,MN,SD,11014.0
639,MN,TN,11799.0
640,MN,TX,40174.0
641,MN,UT,13930.0
642,MN,VA,16160.0
643,MN,WA,22496.0
644,MN,WI,22416.0
645,MO,AL,96.0
646,MO,AR,2831.0
647,MO,AZ,25787.0
648,MO,CA,33266.0
649,MO,CO,34508.0
650,MO,CT,2380.0
651,MO,FL,60452.0
652,MO,GA,42262.0
653,MO,IA,3535.0
654,MO,ID,9.0
655,MO,IL,50462.0
656,MO,IN,2201.0
657,MO,KS,2951.0
658,MO,KY,1723.0
659,MO,LA,5092.0
660,MO,MA,5895.0
661,MO,MD,8308.0
662,MO,MI,16692.0
663,MO,MN,17020.0
664,MO,MO,10051.0
665,MO,MS,17.0
666,MO,NC,22629.0
667,MO,NE,4375.0
668,MO,NJ,5919.0
669,MO,NM,1498.0
670,MO,NV,17429.0
671,MO,NY,12707.0
672,MO,OH,5146.0
673,MO,OK,5254.0
674,MO,OR,2382.0
675,MO,PA,11077.0
676,MO,SC,160.0
677,MO,TN,8396.0
678,MO,TX,83173.0
679,MO,UT,9495.0
680,MO,VA,15823.0
681,MO,WA,8753.0
682,MO,WI,5330.0
683,MS,AZ,147.0
684,MS,CT,159.0
685,MS,FL,1713.0
686,MS,GA,16586.0
687,MS,IL,1174.0
688,MS,IN,423.0
689,MS,KY,104.0
690,MS,MI,163.0
691,MS,MS,25.0
692,MS,NC,5369.0
693,MS,NY,266.0
694,MS,OH,443.0
695,MS,OK,98.0
696,MS,RI,105.0
697,MS,SC,234.0
698,MS,TN,1145.0
699,MS,TX,14874.0
700,MS,VA,556.0
701,MT,AZ,6017.0
702,MT,CA,2614.0
703,MT,CO,23769.0
704,MT,GA,1897.0
705,MT,ID,63.0
706,MT,IL,6813.0
707,MT,MA,5.0
708,MT,MI,186.0
709,MT,MN,12290.0
710,MT,MT,2438.0
711,MT,NJ,1704.0
712,MT,NV,3181.0
713,MT,OR,2745.0
714,MT,PA,75.0
715,MT,TX,6159.0
716,MT,UT,20305.0
717,MT,WA,16936.0
718,NC,AL,13791.0
719,NC,AR,6068.0
