"PASSENGERS","DISTANCE","AIR_TIME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_NM","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_NM","AIRCRAFT_TYPE","MONTH","DISTANCE_GROUP",
1133.00,236.00,833.00,12892,"LAX","Los Angeles, CA","CA","California",12889,"LAS","Las Vegas, NV","NV","Nevada","694",3,1,
1133.00,628.00,3366.00,10994,"CHS","Charleston, SC","SC","South Carolina",11618,"EWR","Newark, NJ","NJ","New Jersey","675",3,2,
1134.00,575.00,3420.00,13264,"MFR","Medford, OR","OR","Oregon",14869,"SLC","Salt Lake City, UT","UT","Utah","629",3,2,
1134.00,109.00,1173.00,14679,"SAN","San Diego, CA","CA","California",12892,"LAX","Los Angeles, CA","CA","California","629",3,1,
1134.00,1235.00,725.00,12892,"LAX","Los Angeles, CA","CA","California",11298,"DFW","Dallas/Fort Worth, TX","TX","Texas","627",3,3,
1134.00,243.00,2341.00,11433,"DTW","Detroit, MI","MI","Michigan",14150,"PLN","Pellston, MI","MI","Michigan","629",3,1,
1134.00,106.00,280.00,10980,"CHA","Chattanooga, TN","TN","Tennessee",10397,"ATL","Atlanta, GA","GA","Georgia","655",3,1,
1134.00,1468.00,3714.00,13796,"OAK","Oakland, CA","CA","California",11259,"DAL","Dallas, TX","TX","Texas","612",3,3,
1134.00,1081.00,4419.00,10620,"BIL","Billings, MT","MT","Montana",11298,"DFW","Dallas/Fort Worth, TX","TX","Texas","673",3,3,
1135.00,665.00,990.00,12223,"HTS","Ashland, WV","WV","West Virginia",14761,"SFB","Sanford, FL","FL","Florida","698",3,2,
1135.00,657.00,1604.00,12266,"IAH","Houston, TX","TX","Texas",10693,"BNA","Nashville, TN","TN","Tennessee","698",3,2,
1135.00,1080.00,2723.00,14635,"RSW","Fort Myers, FL","FL","Florida",12953,"LGA","New York, NY","NY","New York","699",3,3,
1135.00,197.00,2647.00,11697,"FLL","Fort Lauderdale, FL","FL","Florida",15304,"TPA","Tampa, FL","FL","Florida","441",3,1,
1135.00,813.00,1291.00,10423,"AUS","Austin, TX","TX","Texas",10397,"ATL","Atlanta, GA","GA","Georgia","614",3,2,
1136.00,192.00,1999.00,12266,"IAH","Houston, TX","TX","Texas",14814,"SHV","Shreveport, LA","LA","Louisiana","675",3,1,
1136.00,1635.00,1872.00,14771,"SFO","San Francisco, CA","CA","California",12266,"IAH","Houston, TX","TX","Texas","627",3,4,
1136.00,1015.00,1642.00,11292,"DEN","Denver, CO","CO","Colorado",11986,"GRR","Grand Rapids, MI","MI","Michigan","698",3,3,
1136.00,1313.00,3902.00,13871,"OMA","Omaha, NE","NE","Nebraska",14679,"SAN","San Diego, CA","CA","California","612",3,3,
1136.00,1825.00,2611.00,14057,"PDX","Portland, OR","OR","Oregon",12266,"IAH","Houston, TX","TX","Texas","614",3,4,
1136.00,692.00,1007.00,11292,"DEN","Denver, CO","CO","Colorado",11003,"CID","Cedar Rapids/Iowa City, IA","IA","Iowa","698",3,2,
1136.00,227.00,2706.00,11778,"FSM","Fort Smith, AR","AR","Arkansas",11298,"DFW","Dallas/Fort Worth, TX","TX","Texas","631",3,1,
1137.00,738.00,1076.00,13577,"MYR","Myrtle Beach, SC","SC","South Carolina",10721,"BOS","Boston, MA","MA","Massachusetts","694",3,2,
1137.00,599.00,1205.00,14771,"SFO","San Francisco, CA","CA","California",14869,"SLC","Salt Lake City, UT","UT","Utah","888",3,2,
1137.00,859.00,3962.00,13303,"MIA","Miami, FL","FL","Florida",13244,"MEM","Memphis, TN","TN","Tennessee","673",3,2,
1137.00,691.00,1851.00,13232,"MDW","Chicago, IL","IL","Illinois",13851,"OKC","Oklahoma City, OK","OK","Oklahoma","614",3,2,
1138.00,1334.00,2498.00,13198,"MCI","Kansas City, MO","MO","Missouri",14679,"SAN","San Diego, CA","CA","California","614",3,3,
1138.00,187.00,1690.00,10721,"BOS","Boston, MA","MA","Massachusetts",12478,"JFK","New York, NY","NY","New York","673",3,1,
1138.00,624.00,984.00,14082,"PGD","Punta Gorda, FL","FL","Florida",15412,"TYS","Knoxville, TN","TN","Tennessee","694",3,2,
1138.00,641.00,807.00,11292,"DEN","Denver, CO","CO","Colorado",11298,"DFW","Dallas/Fort Worth, TX","TX","Texas","694",3,2,
1138.00,1076.00,1578.00,11697,"FLL","Fort Lauderdale, FL","FL","Florida",12953,"LGA","New York, NY","NY","New York","694",3,3,
1139.00,334.00,1543.00,13930,"ORD","Chicago, IL","IL","Illinois",13487,"MSP","Minneapolis, MN","MN","Minnesota","631",3,1,
1140.00,1050.00,1349.00,14679,"SAN","San Diego, CA","CA","California",14747,"SEA","Seattle, WA","WA","Washington","721",3,3,
1140.00,320.00,3462.00,11122,"CPR","Casper, WY","WY","Wyoming",14869,"SLC","Salt Lake City, UT","UT","Utah","629",3,1,
1140.00,889.00,1826.00,13796,"OAK","Oakland, CA","CA","California",10140,"ABQ","Albuquerque, NM","NM","New Mexico","612",3,2,
1140.00,262.00,1561.00,14689,"SBA","Santa Barbara, CA","CA","California",14771,"SFO","San Francisco, CA","CA","California","673",3,1,
1141.00,870.00,2283.00,14831,"SJC","San Jose, CA","CA","California",10140,"ABQ","Albuquerque, NM","NM","New Mexico","612",3,2,
1141.00,925.00,1922.00,13930,"ORD","Chicago, IL","IL","Illinois",12266,"IAH","Houston, TX","TX","Texas","694",3,2,
1141.00,1597.00,2227.00,12266,"IAH","Houston, TX","TX","Texas",10721,"BOS","Boston, MA","MA","Massachusetts","694",3,4,
1141.00,888.00,1791.00,12953,"LGA","New York, NY","NY","New York",15016,"STL","St. Louis, MO","MO","Missouri","614",3,2,
1141.00,396.00,3701.00,11278,"DCA","Washington, DC","VA","Virginia",11996,"GSP","Greer, SC","SC","South Carolina","631",3,1,
1141.00,1507.00,4766.00,12266,"IAH","Houston, TX","TX","Texas",10529,"BDL","Hartford, CT","CT","Connecticut","673",3,4,
1141.00,356.00,2332.00,11278,"DCA","Washington, DC","VA","Virginia",14307,"PVD","Providence, RI","RI","Rhode Island","673",3,1,
1142.00,397.00,1050.00,13930,"ORD","Chicago, IL","IL","Illinois",11337,"DLH","Duluth, MN","MN","Minnesota","698",3,1,
1142.00,541.00,3206.00,11292,"DEN","Denver, CO","CO","Colorado",15370,"TUL","Tulsa, OK","OK","Oklahoma","629",3,2,
